symbol,open,high,low,close,volume,adjclose,dividends,splits
LUXM4.SA,20.7450008392334,20.7450008392334,20.7450008392334,20.7450008392334,0,20.128324508666992,0.0,0.0
LUXM4.SA,20.667499542236328,20.667499542236328,20.667499542236328,20.667499542236328,400,20.05312728881836,0.0,0.0
LUXM4.SA,20.667499542236328,20.667499542236328,20.667499542236328,20.667499542236328,0,20.05312728881836,0.0,0.0
LUXM4.SA,20.667499542236328,20.667499542236328,20.667499542236328,20.667499542236328,0,20.05312728881836,0.0,0.0
LUXM4.SA,20.667499542236328,20.667499542236328,20.667499542236328,20.667499542236328,0,20.05312728881836,0.0,0.0
LUXM4.SA,20.667499542236328,20.667499542236328,20.667499542236328,20.667499542236328,0,20.05312728881836,0.0,0.0
LUXM4.SA,20.667499542236328,20.667499542236328,20.667499542236328,20.667499542236328,0,20.05312728881836,0.0,0.0
LUXM4.SA,20.4950008392334,20.497499465942383,20.4950008392334,20.497499465942383,1200,19.888179779052734,0.0,0.0
LUXM4.SA,20.497499465942383,20.497499465942383,20.497499465942383,20.497499465942383,0,19.888179779052734,0.0,0.0
LUXM4.SA,20.49250030517578,20.4950008392334,20.49250030517578,20.4950008392334,800,19.88575553894043,0.0,0.0
LUXM4.SA,20.4950008392334,20.4950008392334,20.4950008392334,20.4950008392334,0,19.88575553894043,0.0,0.0
LUXM4.SA,20.2549991607666,20.467500686645508,20.25,20.467500686645508,4800,19.859073638916016,0.0,0.0
LUXM4.SA,20.2549991607666,20.36750030517578,20.25,20.36750030517578,2800,19.76204490661621,0.0,0.0
LUXM4.SA,20.25,20.25,20.25,20.25,2000,19.648038864135742,0.0,0.0
LUXM4.SA,20.25,20.25,19.510000228881836,19.825000762939453,8000,19.235671997070312,0.0,0.0
LUXM4.SA,19.825000762939453,19.825000762939453,19.825000762939453,19.825000762939453,0,19.235671997070312,0.0,0.0
LUXM4.SA,19.825000762939453,19.825000762939453,19.825000762939453,19.825000762939453,0,19.235671997070312,0.0,0.0
LUXM4.SA,19.825000762939453,19.825000762939453,19.825000762939453,19.825000762939453,0,19.235671997070312,0.0,0.0
LUXM4.SA,19.9424991607666,19.9424991607666,19.9424991607666,19.9424991607666,400,19.34967803955078,0.0,0.0
LUXM4.SA,19.9424991607666,19.9424991607666,19.9424991607666,19.9424991607666,0,19.34967803955078,0.0,0.0
LUXM4.SA,19.872499465942383,19.872499465942383,19.8700008392334,19.8700008392334,1600,19.279335021972656,0.0,0.0
LUXM4.SA,19.8700008392334,19.8700008392334,19.8700008392334,19.8700008392334,0,19.279335021972656,0.0,0.0
LUXM4.SA,19.8700008392334,19.8700008392334,19.8700008392334,19.8700008392334,0,19.279335021972656,0.0,0.0
LUXM4.SA,19.8700008392334,19.8700008392334,19.8700008392334,19.8700008392334,0,19.279335021972656,0.0,0.0
LUXM4.SA,19.8700008392334,19.8700008392334,19.8700008392334,19.8700008392334,0,19.279335021972656,0.0,0.0
LUXM4.SA,19.8700008392334,19.8700008392334,19.8700008392334,19.8700008392334,0,19.279335021972656,0.0,0.0
